OrderID,OrderDate,Region,Category,Product,CustomerID,Quantity,UnitPrice,Revenue,Cost,Profit
ORD00001,13-04-2023,East,Home & Kitchen,Mixer Grinder,CUST0052,10,9399.8,93998,70178.11,23819.89
ORD00002,11-03-2024,West,Grocery,Packaged Snacks,CUST1585,1,755.83,755.83,593.63,162.2
ORD00003,28-09-2023,North,Grocery,Cooking Oil,CUST1470,2,453.06,906.12,783.98,122.14
ORD00004,17-04-2023,East,Electronics,Laptop,CUST0612,2,56811.39,113622.78,74089.07,39533.71
ORD00005,13-03-2023,North,Clothing,Jeans,CUST1468,10,2575.69,25756.9,19353.35,6403.55
ORD00006,01-12-2024,South,Electronics,Laptop,CUST1406,7,27948.31,195638.17,142283.76,53354.41
ORD00007,21-01-2023,Central,Electronics,Smartphone,CUST1787,6,19716.2,118297.2,81480.28,36816.92
ORD00008,06-09-2024,South,Electronics,Tablet,CUST0374,9,54037.19,486334.71,425972.04,60362.67
ORD00009,02-05-2023,East,Home & Kitchen,Mixer Grinder,CUST2000,7,8579.67,60057.69,36181.84,23875.85
ORD00010,11-04-2024,International,Grocery,Spices Pack,CUST1590,3,865.68,2597.04,1653.36,943.68
ORD00011,03-08-2023,South,Electronics,Smartwatch,CUST0375,3,6683.73,20051.19,16442.04,3609.15
ORD00012,27-11-2023,West,Electronics,Smartphone,CUST0389,1,29565.83,29565.83,20076.16,9489.67
ORD00013,03-04-2024,North,Electronics,Smartphone,CUST1673,8,14947.19,119577.52,97689.31,21888.21
ORD00014,29-03-2023,International,Home & Kitchen,Mixer Grinder,CUST0674,1,2113.15,2113.15,1795.49,317.66
ORD00015,08-01-2024,International,Home & Kitchen,Cookware Set,CUST1890,2,4416.46,8832.92,5974.45,2858.47
ORD00016,10-04-2023,East,Home & Kitchen,Cookware Set,CUST0804,7,1711.51,11980.57,7878.22,4102.35
ORD00017,25-10-2024,West,Electronics,Tablet,CUST1503,1,57660.55,57660.55,37109.76,20550.79
ORD00018,11-05-2023,North,Clothing,Formal Shirt,CUST0404,4,713.93,2855.72,1884.85,970.87
